试题内容	答案
钢丝绳是各种起重机的一个重要组成部分，也是起重作用中常用的索具，用来捆绑、起吊重物。                                            	A
钢丝绳要定期检查，每3个月要全面检查1次。               	A
钢丝绳在使用过程中允许微小的超负荷。    	B
钢丝绳中的钢丝，磨损或锈蚀强度达到或超过钢丝直径的30％应予报废。           	B
钢丝绳中的有一正股折断时，应予报废。                                        	A
"高处作业必须做好安全防护和按规定使用安全带,工具、材料要放置稳妥,传递物件可以抛掷。"	B
高空间走动作业，可以不搭设安全跳板。                                        	B
高压设备带电作业方式分为直接带电作业和间接带电作业两种。	A
高压设备都应采取屏护遮拦和保证安全距离的措施。	A
隔离开关按其用途分带接地刀闸的和不带接地刀闸的两种。	A
各工作者应检查使用的工具、设备是否良好。	A
各种机械设备转动部分及有危险的外露部分，均应设置防护装置。	A
根据事故现场的损坏等级，制定出符合自身设备能力又符合事故具体状况的救援方案。	B
"工会有权参加事故调查,向有关部门提出处理意见。"	A
"工作场地应保持清洁,使用的工具不得有油污,干活当中应注意周围情况,不能伤及别人,也不能被它人所伤害,更不能伤及自己。"	A
"工作前必须讲清夜间作业内容和工作中应注意事项,做到预想预防。"	A
工作中要坚守岗位，不准做与本职工作无关的事。	A
"供电设备的仪表指示无电压,就表明此设备无电。"	B
挂绳位置应以偏离重物重心1／5处为起吊中心。 	B
"关闭电瓶开关时,柴油发动机也能够起动。  "	B
轨道起重机除连挂吊臂平车自力运行外，禁止进行任何调车作业。   	A
轨道起重机司机在起重机工作后， 认真检查起重机各部状态，发现不良处所应立即修复并作出记录。	A
轨道起重机在曲线上作业时，起吊物件向曲线内侧回转时，必须使用支腿。   	A
过载保护装置用于起重货物时，可以对货物进行称重。	B
海参型复轨器内、外侧复轨器应左右对称安装，并需避开鱼尾板及腐朽枕木，如遇轨撑应拆除。	A
海参型复轨器外侧复轨器小而矮，内侧复轨器略高大。                           	B
行车有关人员，接班前须充分休息，严禁饮酒，如有违反，立即停止其所承担的任务。	A
行车有关人员，在任职、提职、改职前，必须按照铁路职业技能培训规范要求，进行拟任岗位资格性培训，并经职业技能鉴定和考试考核，取得相应职业资格证书和岗位培训合格证书后，方可任职。	A
行车有关人员在执行职务时，必须坚守岗位，穿着规定的服装，佩戴易于识别的证章或携带相应证件，讲方言。	B
行使状态稳定性可分为静态温度和动态稳定。 	B
合成纤维吊装带在作业中发现标签飞落应立即停止使用，更换新品。  	A
"横越线路时,必须做到'一站、二看、三通过',严禁抢越、钻车或穿越两车间隙,严禁在道心或枕木头上行走,严禁在车下避雨、乘凉、休息,严禁扒乘机车、车辆以车代步。"	A
滑车容许承重力的大小，与滑轮直径、轴的粗细，支架铁板的厚度和宽度无关。      	B
滑环在底架和回转架之间组成可旋转的电气连接。	A
火灾现场烟气太大时，在烟气中不能直立行走，应弯腰行走。  	A
机车按牵引动力方式分为电力机车、液力机车，传动方式主要有交流传动和直流传动。  	B
机车车辆脱轨事故发生在站外或车站咽喉道岔处，应采取移车法开通线路比较有利。	B
机车车辆在道口处发生脱轨时可采用移车法。                                   	B
机车车辆在桥上脱轨，利用人字型复轨器时，可将事故车的一端两侧护轮轨均拆除，再安装复轨器起复。	B
机车出入段时昼间的道岔开通信号——拢起的黄色信号旗高举头上左右摇动。	B
机车出入库时要对轮对踏面、轮辋内外侧、过渡圆弧处以及相连接的各部件进行全面检查，及时发现并消除质量隐患。	A
"机车带负荷时,可手触各接触器触指和高压带电部件。"	B
机车带负荷运行时禁止进入高压室作业。	A
机车弹停制动装置分别装在机车左侧1、2和右侧4、5动轮。	B
机车动车前，必须确认车组人员到齐和车上车下无其他作业人员，先动车，后鸣笛。	B
机车动轴上所承受的机车重量称为黏着重量。  	A
机车各轮全部脱轨，利用人字型复轨器起复较为适宜。	B
机车各转动部件在未停止转动前，可以进行检查和修理。	B
"机车各转动部件在转动时严禁修理或擦拭,不得敲打带压力的部件。"	A
"机车进行负载试验时,禁止进入高压室作业;必须打隔离开关,并拧紧人力制动机;高声呼唤'拉自负荷了',并确认地沟无人,方可作业"	A
机车拉翻法的缺点是安装机具时间长、效率低。	A
机车旅行时间是指机车牵引列车从始发站发车至到达终点站的全部时间。	A
"机车上部作业时衣着要灵便,须扣好纽扣,扎好袖口、裤腿,防止拌跌。必须佩戴安全帽,禁止穿拖鞋、硬底鞋、带钉和易滑的鞋作业。"	A
机车上应备有复轨器和铁鞋止轮器	A
机车信号分为连续式和点式。	B
"机车有风压时,禁止拧下管堵、塞门、阀、风动器具和拆卸其他风动装置。"	A
机车在静止状态下，每根轮轴压在钢轨上的重量称为轴重。	A
机车在走行中，可以在外走板、梯子、排障器等机车外部站立或从事修理工作。	B
"机床运转时,禁止装卸工作、调整刀具、测量检查工件和清除切屑。机床运行时,操作者不得离开工作岗位。"	A
"机械操作时,要束紧袖口,女工发辫要挽人帽内。"	A
机油黏度过大会导致机油压力过高。 	A
基本尺寸相同的孔和轴，具有过盈的配合叫过盈配合。                            	A
"急救触电者,伤员未失去知觉者,应安放在空气流通,温暖处安静休息,同时请医生或送往医院治疗。"	A
加强机车走行部安全监测装置用、管、修工作，对监测数据每月进行转储分析，定期组织检查。	B
检查砂轮片状态，直径不能小于压板，不准有裂纹。                            	A
"检查蓄电池时,禁止使用外露火焰的光源进行蓄电池检查。"	A
"将电气设备不带电的金属外壳与变压器连接,称为接零保护。"	B
交流传动机车定期检修的修程分为六年检、二年检、年检、半年检、季检和月检。	A
接触网带电部分至机车车辆或装载货物的距离，不小于300mm。                    	B
接触网额定电压值为30kV。                                                   	B
"接触网附近发生火灾时,应立即向列车调度员,电力调度员或接触网工区值班人员报告。"	A
接触网停电登顶时可以不设专人防护。	B
"接触网停电进行人工装卸货物时,应在线路两端安全作业标之间的安全区域内进行。"	A
"接触网停电作业包括停电,验电,挂设接地线,拆除接地线,恢复送电五个程序。"	A
接地线撤除后可以再次进入作业点作业。	B
借用线路拨道开通是指比新铺便线比较容易开通线路的方法。                      	B
金属材料的物理性能一般包括有强度、弹性与塑性、硬度、冲击韧性等。	B
金属芯钢丝绳强度大能承受较高的横向力，但挠性和弹性较差。    	A
进入各种容器内（如锅炉、水柜、金属槽等）工作时，进口处应设“里面有人工作”的警示牌，同时设专人监护。	A
"进入容器内部工作时,冬季可用木炭等物在内部取暖。"	B
禁止搬上搬下重物或从高处抛掷工具、工件等。	A
禁止穿化纤服装标志悬挂在焊接和热处理车间的人口处。	A
禁止从电力机车及车辆的车顶上和转向架上，向下抛掷工具和其它物品。	A
禁止在道心或枕木头上行走。   	A
禁止在接触网下抛掷物品。	A
警报信号；发现线路有危及行车安全的不良处所时鸣示方式为一长三短声。	A
警告标志是提醒人们对周围环境引起注意，以避免可能发生危险的图形标志。	A
酒后驾车的'酒后'一般是指饮用各种白酒、啤酒和果酒后8小时以内。	A
救援报告的主要内容之一：机车车辆脱轨数量及型号、线路设备损坏程度等情况。	A
救援工作首先要保证开通正线。                                               	A
救援捆绑与起吊作业中，撬的作用就是使重物左右移动。                          	B
救援列车出动由铁路局调度所直接向救援列车发布救援出动的调度命令。            	A
救援列车离开停留线或外地作业时，必须全列车出动。	A
救援列车人员接到调度出动命令后，应保证在60分钟内出动。    	B
救援列车停留线，原则上应设在两端接通、便于救援列车出动的段管线（站线）上。  	A
救援列车在电气化区段实施救援作业时，应当在确认接触网工区接到停电命令并做好接地防护后方准进行。	A
救援事故中拉翻法适用于颠覆或脱轨的车辆大部分已离开线路。    	B
救援总体方案的确定原则应铺设便线临时开通。                                 	B
卷筒吊索是与起重机配套的用于起升机构工作的吊索。                           	A
卡环的尺寸是衡量其吊重标准的依据，一般情况下环直径越大的卡环容许载荷越小。 	B
卡环使用完毕后，不允许在高空将卡环往下掷，以放置损坏。   	A
卡环用于连接钢丝绳和吊钩，以及捆绑物件时固定绳套。                         	A
"开关机车各间车门时,要把好车门把手,禁止手扶门框,防止挤手。"	A
开始工作前应认真检查所使用的工具、设备以及与工作有关的机械、机件和周围的人员。	B
"开始工作时,要检查刹车和紧急停机功能,并检查起重机有否明显的损坏。  "	A
开往事故现场救援、抢修、抢救的列车，应优先办理。  	A
靠近带电体作业容易发生触电事故的原因之一是没有设专人监护或监护不当。	A
可以从未铺渡板和无安全栏的桥梁上乘降。	B
可以以叉车、铲车代替梯子使用。	B
可以在带电的情况下接触高压室导线和各种用电设备的导电部分。	B
可以在机车的车顶、走板、工作台等的边缘放置工具和零件，以免坠落。	B
可以在接触网下抛掷绳索。	B
可以在接触网支柱下、线路旁大树下避雨。	B
可在司机室电炉上和空气压缩机上烘烤棉丝和乱丢棉丝等易燃材料及末熄灭的烟头。	B
客运机车走行部关键部件漏检，属于青藏铁路公司安全生产类“红线”。	A
空气制动机又叫自阀，是利用压缩空气并控制制动力的设备	B
空压机工作时，应经常检查是否漏气、漏油，皮带松紧及安装螺栓的状态。     	A
空压机排气量不足的故障原因之一是因为滤清器堵塞。  	A
空压机润滑油温度过高的故障原因之一是因为油量。	A
空压机在启动前，必须检查油池内的润滑油是否在油窗规定的位置。 	A
跨步电压是指电气设备碰壳或电力系统一相发生接地短路时，电流从接地处四散流出，人走近短路点时，两脚之间的电位差。                                                 	A
捆绑物件时，应避免麻绳直接和物件的尖锐边缘接触。        	A
拉翻法是将破损的机车车辆利用机车、起重机、拖拉机等动力机械拉倒、拉翻，使其离开线路的一种迅速恢复行车的方法。                                                  	A
"劳动者对用人单位人员违章指挥、强令冒险作业,有权拒绝执行"	A
利用机车、起重机、拖拉机等将颠覆、堵塞线路的机车车辆清除出线路，然后抢修线路通车的方法，叫迂回法。   	B
连接链条时，必须用螺栓或铁丝绑扎。	B
连接链条时，应用螺丝穿结，禁止用铁丝绑扎。                                  	A
联系用的手信号中，夜间显示道岔开通信号时，用白色灯光高举头上。	A
联系用手信号显示股道号码时，夜间用白色灯光作圆形转动后，左右摇动，然后再从左下方向右上方高举，表示开通七道。	A
联系用手信号显示连结手信号时，昼间显示方式为两臂高举头上，使拢起的手信号旗杆成水平末端相接。	A
联系用手信号显示十、五、三车距离信号中的“五车”（约55m）信号时，昼间的显示方式为展开的绿色信号旗单臂平伸连续下压三次。	B
链环发生扭曲、裂纹、严重锈蚀以及积垢不能加以排除时，应降低负荷使用。        	B
链环有裂纹或高拉应力区的深凹痕、锐利横向凹痕时，禁止使用。                  	A
链环之间以及链环与端部配件连接接触部位磨损减少到原公称直径的80%时，禁止使用。	A
链条采用同样尺寸及破断拉力时安全系数不同，所承受的容许拉力不同。            	A
链条的使用安全系数，用在凹槽的链轮上机动为4.5。                            	B
链条滑车检查时，起重链条倒转，检查各部有无变化，安装是否妥当，链条有无回转。	B
两车相撞，脱轨倾斜较大，原线既不能拉又不能吊，必须利用二线起复时，且两旁无线路可借用时，应采用铺便线方法。                                                    	A
两端三点顶复机车，适用于一般性脱轨和各类型机车车辆起复。                    	A
两台车脱轨于两轨之间时，利用复轨器排开放置起复较为适宜。	B
"两台起重机同时起吊一件物体时,遇有一台起重机或索具发生异状时，应将将物件及时放下。"	A
两台起重机在同一线路上起吊时，遇有一台起重机或索具发生故障时，两台起重机应同时将物件放下。    	A
两台铁路救援起重机在同一线路上起吊时，被吊物重量不得超过起重能力小的起重机能力的2.5倍。                                                                        	B
列车发生火灾、爆炸需要分隔甩车时，应根据风向及货物性质等情况而定。一般为先甩下列车后部的未着火车辆，再甩下着火车辆，然后将机后未着火车辆拉至安全地段。	A
列车是指编成的车列并挂有机车及规定的机车标志。	B
列车脱轨、线路损坏严重，或机车车辆严重倾斜时，可以采用拉复法。             	B
列车须按规定编定车次。上行列车编为双数，下行列车编为单数。	A
列车运行，原则上以开往北京方向为上行，反之为下行。	A
列车运行中，各有关作业人员应按规定执行车机联控。	A
列车在区间发生事故后，造成车钩破损，不能联挂运行时，可利用车辆配件进行应急处理。  	A
列车在隧道内发生脱轨，一般多采用复轨器拉复或液压起复设备顶复等作业。	A
临时拉设电线时不可用铁丝等容易导电的物体接触或拴拉电线。	A
流动式起重机的稳定性可分为行使状态稳定性和工作状态稳定性。	A
流经人体不至发生生命危险的电流一般不会超过60mA。                           	B
轮箍是否松弛，可以通过检查预划在轮箍和轮心接合处的弛缓线是否错动来判断。  	A
轮箍外表面与钢轨顶面接触的部分称为踏面。	A
麻绳是装卸作用中常用的绳索之一，它及具有轻便、柔软、容易捆扎等特点。  	A
每次起吊物件，必须经过试吊。	A
每年10月初由各机务段成立防寒领导小组，负责布置、协调全段防寒工作。	B
每月对起重机吊臂、回转、配重、支腿上的传感器进行电缆检查清洁，并适当润滑伸缩梁传感器和延伸出来的细钢丝绳。	A
每周对起重机界限指示灯、工作照明灯、警告灯以及司机室、机械室和操作面板的照明灯进行功能测试，保证良好。	A
灭火的基本方法有：火灾报警方法、冷却灭火法、窒息灭火法、隔离灭火法、化学抑制灭火法。	A
"灭火器材设置点附近不能堆放物品,以免影响灭火器的取用。"	A
摩擦制动方法包括闸瓦制动和盘形制动两种。	A
目前柴油机一般采用封闭式强制循环水冷却，包括水泵节温器、水箱风扇等。  	A
目前常用的交流发电机有旋转电枢和旋转磁场式两种。	A
内燃机车进四股脱轨时，起复后应检查机车走行部状态。   	A
内燃机车时以内燃机作为原动力的一种机车。	A
"内燃机车需要上大顶作业时,可以在接触网区域内进行。"	B
内燃机车在道岔处进四股脱轨后，燃油箱及牵引电机等可能与轨面接触。   	A
尼龙绳与涤纶绳具有质量轻、材质柔、耐腐蚀、耐酸碱、耐油、抗水、有弹性、能减少冲击等优点。                                                                      	A
"泡沫灭火器扑救油类火灾最有效,需要半年检修一次,一年换一次药剂。"	A
泡沫灭火器适用于消除电器、油脂、贵重机件火灾。	B
棚车空车脱轨后，转向架无损坏，利用起重机吊复时，先将转向架与车体连接。      	A
"平面磨床工作台的两端或四周应设防护档板,以防被磨工件飞出"	A
平时要避免与接触网的支柱、支撑结构及其金属结构及回流线与钢轨的连接点接触。 	A
剖面图是用假想的剖切平面将零件剖开，从剖开部位看去，直接看到零件内部形状。  	B
普通结构钢丝绳由不同直径的钢丝与一根有机绳芯捻制而成。                     	B
起NS1600轨道重机的变幅、起升钢丝绳末端的固定均使用的是骑马式绳卡。 	A
起道机是齿条式千斤顶的一种。                                                	A
起吊物体时，挂索位置应以重心为中心，两边质量对称，但不一定距离对称。       	A
起吊重量不明时，不得盲目作业。                                              	A
起吊作业时，对起吊重量不明时，进行试吊作业后再进行起吊。   	B
起吊作业时，严禁有人攀扶吊钩或站在吊物上。	A
起复动车组、新型机车车辆等，应当使用专用吊索具。	A
起复危险品车辆时，要根据具体情况穿戴工作服，作好安全防护。                 	A
起重工在工作前各项防护用品穿戴整齐，在冬季需戴手套作业注意防止扎手砸脚。    	B
起重机按规定办理无火回送时，制动机不应加入制动系统，以保证起重机的运行平稳。	B
起重机不得起吊重量不清的物件和吊拔埋置或冻结在地面的物件。  	A
起重机的变幅、起升钢丝绳末端的固定均使用的是骑马式绳卡。   	A
"起重机的钢丝绳在卷筒上必须排列整齐,尾部卡牢,工作中最少保留2圈以上。"	B
起重机的维护保养应包括一般性的日常维护保养（即每班进行的保养）和定期的维护保养(即间隔一定时间的保养)，同时根据使用经验，亦可参照说明书进行自检自修，其范围不可以可自行确定。	B
起重机吊重作业时，指挥人员可以站在吊臂下进行指挥。                          	B
起重机动车后退的手势信号是双手向前，手心向里，前后摆动。                    	B
起重机各部件的运转或制动均应平稳，避免发生冲动。机械运转不得突然改变方向。摘挂离合器时，应在机械动作缓慢的情况下进行。	A
起重机紧急停止的手势信号是两臂平伸不动。                                    	B
起重机可以进行调车作业。	B
起重机可以起吊埋置在地下的重物，但禁止斜拉歪吊。                            	B
起重机起重稳定计算，是指运行式起重机在吊重状态下进行的。	B
起重机上使用的液压马达有两种，分别是回转、走行和卷扬马达。   	A
起重机司机必须短时间离开起重机时，应将各手柄置于中立位，单阀制动。	A
起重机司机起机试验时，要积极配合，做好辅助性工作，每次试验完毕，对起重机各磨擦部充分给油，检查各种油脂存量，缺少及时补充。作业完毕将吊车恢复回送状态。	A
起重机司机确保在起重机启动前和结束操作后所有的控制装置都处于零位或空挡的位置。	A
起重机司机在每次作业前对柴油机的机油、冷却水、燃油，液压油箱等进行检查。	A
起重机司机在夜间或雾天照明不足，视野不清时应停止作业。	A
起重机司机在作业过程中随时注意机械的运转情况，有无异音异状，各项指标符合规定。	A
起重机司机在作业中要密切注意中央控制面板各项数据的显示。	A
"起重机所使用的普通接近传感器,绿灯代表电源指示。  "	A
起重机无动力回送时，，应将支腿转至与轨道平行位置，并固定各销。    	A
起重机需要自力运行时，应将走行离合器接合，开发无动力回送装置。 	B
起重机与吊臂平车无动力回送时，不能分解运输，可以编挂在列车中部。  	A
起重机在吊5t以下的物体时可以不使用支腿进行回转或作业。  	B
起重机在吊有重物的情况下，为了保证起重机的水平，可以对支腿支撑油缸<br>进行伸缩操作。  	B
起重机在寒冷地区或冬季使用，柴油机水箱内应按比例加注防冻剂，对加注防冻剂的溶液，至少要进行一次化验，如不加防冻剂，起重机在工作后应将水箱的水放净。	A
起重机在进入作业地区前，司机应确认线路状态是否良好，线路不良不得将起重机开入，并立即要求有关部门修复。	A
起重机在停止作业状态时，禁止吊钩上悬挂重物。 	A
起重机在阳光强列照射时，司机可能看不清警示灯警报的信息，所以禁止<br>关闭声音警报。	A
起重机主钩降落的手势信号是右臂高举手心向下，左臂平伸手心向下，上下摆动。    	B
起重机转车向左的手势信号是左臂向前平伸，左右摆动。                          	A
起重机作业后，起重机吊钩以及其他附属装置均应置于规定位置并可靠固定，将发动机熄火，切断总开关，所有操作手柄和开关均处于不工作的位置。	A
起重机作业时，为提高工作效率，缩短作业时间，可以进行两种以上的联合动作。    	B
起重机作业信号应由指挥作业的一人发出，其他人员不得直接向司机发出信号。      	A
起重伤害主要是指在起重机使用，维修等各种主作业中发生的人身伤害事故。	A
起重作业人员应熟知起重指挥信号，多人作业要有专人指挥，统一信号，严格按照指挥命令和信号工作。                                                                  	A
牵引电动机的悬挂方式大致可分为轴悬式、架悬式、体悬挂3大类。	A
牵引供电系统主要包括牵引变电所和接触网两大部分。	A
牵引缓冲装置包括车钩和缓冲器，是实现机车与列车联挂的装置。	A
"倾斜补偿器使起重机上车在轨道高度差小于 160mm 的情况下,保持水平的位置。"	A
清除障碍原线开通法就是利用机车、牵引车、拖拉机等动力机械将颠覆后堵塞线路的机车车辆吊移或拉移至线路之外，然后抢修线路恢复通车。                                	A
全国铁路的行车时刻，均以北京时间为标准，从零时起计算，实行12小时制。	B
全回转模式起重机上车可以旋转360度，这时上车1和2是解锁状态。  	B
"全面安全管理的内容是'四全'安全管理,即全员、全面、全过程、全天候安全管理,做到'横向到边,纵向到底'的全面管理。"	A
缺氧窒息：如作业环境中单纯性窒息性气体浓度增高，其含量大于84％时，会使氧气浓度降低，导致人因缺氧出现窒息症状，如头晕、头痛、呼吸困难、心跳加快，以至昏迷和死亡。	A
"群体作业,必须指定专人负责安全,并且召开班前会进行安全布置并进行安全教育。"	A
群体作业不必统一指挥。	B
燃油滤清器的作业是清除燃油中的水分和杂质。	B
绕在卷筒上的钢丝绳不得少于1.5圈。 	B
人字型复轨器不论车轮脱轨至线路同一侧或两侧，向一个方向拉复都能使其复轨。   	A
人字型复轨器使用时由左“人”、右“入”放置。                                	A
人字型复轨器未脱轨的车轮从其顶上越过不会脱轨。                             	A
"任何电气设备在未验明无电之前,均视为无电,允许接触。"	B
任何情况下，当某些部件和管路发生冻结时，均不得用火烤的方法进行解冻。 	A
"任何情况下,均不得抢越线路和在线路中心行走。"	A
如钢丝绳断丝紧靠一起形成局部聚集，则钢丝绳应报废。                          	A
"如有故障使得操作不安全时,要停止使用起重机。  "	A
若指挥人员发出的信号违反规定或不明时，司机仍可以继续进行作业。	B
三级防火责任制指的是站段级、车间级、班组级。	A
砂箱内的存砂量不得少于砂箱的50%如果砂子少于50%，必须要求地勤补满砂箱。	A
擅自关闭、人为破坏行车安全装备，违章解锁监控装置，人为遮挡、破坏音视频监控装置。属于青藏铁路公司施工安全类“红线”。	B
上、下机车要背向车门方向，要抓紧站稳，手不抓紧不迈步，脚未站稳不松手，严禁从车上跳下。	B
上班前要充分休息好，不得饮酒，上岗后要遵守劳动纪律和作业纪律，严格执行岗位责任制和有关规章制度。	A
设备管理不在《内燃、电力机车检修工作要求及检查办法》对规检查的范畴。	A
生产经营单位必须为从业人员提供符合标准的劳动防护用品。	A
生产性粉尘的危害是无法预防的。	B
"施工单位的安全生产管理人员,须经安全生产知识和管理能力考核合格后才能任职。"	A
"施工现场的脚手架、防护设施、安全标志和警告牌,不得擅自拆动。"	A
实习和学习驾驶机车、动车组、自轮运转特种设备和操纵信号或重要机械、设备及办理行车作业的人员，必须在正式值乘、值班人员的亲自指导和负责下，方准操作。	A
食物中毒一般表现为恶心、呕吐、腹痛、腹泻等急性胃肠炎症状。	A
使用2台千斤顶时，应放在中心线两侧对称位置上。                             	B
使用扳子松紧螺帽时，应先将螺帽和扳子的油垢擦净。不得用扳子向反方向扳动，并禁止扳子接扳子或将扳子当锤子使用。	A
"使用大锤、手锤时,严禁戴手套,挥锤时要注意周围情况,避免背面对人。"	B
使用大锤时，为防止滑脱，应戴手套或使用垫布。   	B
"使用电动工具遇停电、休息或临时离开工作场所时间短的话,可不切断电源。"	B
"使用过的油棉纱、油手套等沾油纤维物品以及可燃包装,应放在安全地点,且定期处理。"	A
使用两根以上吊绳索时，要尽量避免吊索并列使用，以免吊索长短不一，受力不均，应使吊索保持适当的角度，使其受力均匀。                                        	A
使用塞尺检验间隙时，要先用较厚的试塞，逐步减薄，组成数片进行测定。	A
"使用沙土灭火时,距离接触网带电部分3米以外者,接触网可以不停电。"	B
使用绳夹时应将U形环部分卡在活头的一边。    	A
使用手锯锯割钢件时，应在锯条上和锯缝内涂以机油，以延长锯条的使用寿命。  	A
使用游标卡尺时，弄清其刻线原理，就容易掌握正确读数。	A
使用支腿时，必须用防移拉杆固定支腿，枕木必须坚硬。    	A
事故车辆走行部损坏、歪倒离开线路较远或破损车辆叠压成堆时，应使用移车法开用线路。     	B
事故车侵入邻线，必须坚持首先开通正线，再开通干线的原则。                   	A
事故的发生是完全没有规律性的偶然事件。	B
事故等级分为特别重大事故、重大事故、大事故和一般事故。	B
事故救援完毕后， 确认具备开通条件后，立即通知有关人员按规定办理手续，由列车调度员发布调度命令开通线路，尽快恢复正常行车。	A
事故救援线路开通的基本方法之一，借用线路拨道于原线复轨开通法。              	B
事故破损的机车车辆已报废或严重损坏时，起复中应用拉翻法。	A
事故情况系指机车、车辆脱轨颠覆，线路损坏等情况。                           	A
事故现场必须统一指挥，其他部门人员要密切配合，各尽职责。 	A
事故隐患是指可能导致人身伤亡或者经济损失的潜在的祸患。	A
事故应急救援过程中，人员伤亡、脱轨辆数、设备损坏等情况发生变化时，应及时补报。	A
事故应急救援需要通信保障时，立即启用“117”应急通信人工话务台，组织开通应急通信系统。   	A
手制动系统的指示器两个都为白色时表示压缩空气供应充足 	B
受电弓可随接触网的不同高度而自由地变换其高度而保持接触压力基本恒定。	A
输油泵不输油或输油压力不足，是因为出油阀磨损关闭不严，处理方法是调整压力。   	B
双线完全中断时要尽快开通二线。                                             	B
"顺线路行走时,不准走道心和枕木头,在线路附近作业时,人员、设备、工具包括手持工具不得侵入限界。"	A
顺线路行走时，应走线路中间。                                                 	B
司机应遵照指挥人员的信号进行操作并与起重工密切配合。	A
司机在作业中要密切注意各处风压保持规定压力。	A
四冲程柴油机辅助装置由配气机构、进排气系统、燃料供给系统、润滑系统和冷却系统等组成。  	B
四股道脱轨可利用道岔护轮轨起复。                                           	B
四股道脱轨起复前要拆除道岔转折连接杆销，使岔尖能自由摆动。                 	A
所谓弹性变形是指如果引起物体变形的外力消除之后，能完全恢复原状。 	A
所谓机车车辆伤害，是指铁路机车车辆在运行过程中碰、撞、轧、压、挤、摔等造成铁路作业人员伤亡的事故。	A
所有接触网设备，自第一次受电开始，在未办理停电接地手续之前，均按有电对待。	A
所有易燃的液体混合物或含有固体物质的液体都称为易燃液体。                   	B
探伤工须取得超声、磁粉Ⅰ级及以上级别资格证书，持有Ⅱ级及以上资格证书者方可检测车轴、轮箍、内燃机车曲轴和凸轮轴，并有资格签发探伤报告。	A
"天气不良危及人身安全时,禁止登上机车顶部作业。"	A
调车手信号指挥机车向显示人方向来的信号，昼间用展开的绿色信号旗上下摇动，夜间用绿色灯光上下摇动。	B
调车手信号指挥机车向显示人方向稍行移动的信号，昼间为拢起的红色信号旗直立平举、再用展开的绿色旗上下小动，夜间用绿色灯光上下小动。	B
调车作业摘车时，必须停妥，采取好防溜措施，方可摘开车钩；挂车时，没有连挂妥当，可以撤除防溜措施。	B
调速器的作用是自动调节喷油泵供油量，使柴油机在一定转速下稳定运转。   	A
铁路的视觉信号通常用不同的颜色来显示其意义，红色表示停车；黄色表示注意或减低速度；绿色表示按规定速度运行。	A
铁路行车组织工作，必须贯彻安全生产的方针，坚持高度集中、统一领导的原则。	A
铁路机车回送方式有：单机、专列、牵引和托运4种。	B
铁路交通事故救援的目的是为了迅速起复机车车辆，尽快开通线路，迅速恢复行车。    	A
铁路救援起重机在曲线上作业时，可以使用无支腿工况。                          	B
铁路救援起重机在曲线上作业时，起吊物件向曲线外侧回转时，必须使用支承梁，将轨道卡子卡好，且吊件重量较起重机起重质量减少20%。                                   	B
铁路救援起重机在停止作业状态时，禁止吊钩上悬挂重物。                        	A
铁路起重机从工作状态到回送状态时，使用强制钥匙将吊钩收到顶，副司机要观<br>察指挥，防止钢丝绳过卷。	A
铁路线路是机车车辆和列车运行的基础。	A
铁路信号分为听觉信号和视觉信号两大类。	A
"停、送电作业必须执行二人作业,二人操作。"	B
"通过道口车辆上部或其货物装载高度从地面算起超过4m通过平交道口时,车辆上部及装载货物上严禁坐人。"	B
通过各个用电器的电流强度完全相等的电路为并联电路。  	B
通过检查地沟时，应走渡板或前后绕行，禁止跨越地沟。	A
脱轨表示器显示为带白边的红色长方牌及红色灯光时，表示线路在遮断状态。	A
脱轨车轮距基本轨较远，护轮轨不起作用时，不需要加逼轨器复轨。                	B
危险物品是指易燃易爆物品、危险化学品、放射性物品等能够危及人身安全和财产安的物品。	A
为了规范和加强铁路交通事故的应急救援工作，最大限度地减少人员伤亡和财产损失，尽快恢复铁路运输秩序，制定本规则。	A
未经安全生产教育和培训合格的从业人员，可以上岗作业。	B
我段的特种作业有:电工作业、金属焊接切割作业、起重机械作业三种 。	B
我国规定36V以下为安全电压。	A
"我国现行的安全生产管理体制是'企业负责,行业管理,国家监察,群众监督'。"	A
无论机车还是车辆发生脱轨后，枕木都要压一道槽，这是一般规律，顺槽往回拉是正常的。 	A
无证操纵机车车辆、机动车、特种设备或擅自交他人操纵。属于青藏铁路公司作业纪律类“红线”。	A
物体重心越高，支承面积越小，则物体的稳定程度就越差。    	A
物体重心越高，支承面积越小，则物体的稳定程度就越差。 	A
现场急救的主要任务是抢救生命、减少伤员痛苦、预防并发症，正确而迅速地把伤病员转送到医院。	A
现场救援工作实行总指挥负责制，按照事故应急救援响应等级，由相应负责人担任总指挥，统一指挥现场救援工作。   	A
卸放吊件时，允许在降落中用手扶吊件。	B
新工人的三级安全教育是指厂(段)教育、车间教育和班组教育。	A
新入路、新转岗、新提职人员必须参加三级安全教育及其他规定的安全教育及培训。	A
新式人字型复轨器与老式人字复轨器一样，复轨有效距离都为240mm。  	A
信号是指示列车运行及调车作业的命令，有关行车人员必须严格执行。	A
信号装置一般分为信号机和线路表示器两类。	B
"需登上车顶进行检查作业的司机、专检、专修或其他人员必须经车顶门登上车顶,严禁从其他处所攀登车顶。"	A
蓄电池的电解液密度冬季和夏季是不同的。	A
蓄电池检查时，严禁烟火和将金属物体放于跨线上。    	A
